col0,col1,col2
Aufklärungsprojekt München e.V.,Munich,1992-01-01
Cricket Writers' Club,,1946-01-01
Nouveau Cercle de l'Union,,1828-01-01
Verein für Volkskunde in Wien,,1894-01-01
"Heinrich-Böll-Stiftung Brandenburg für Ökologie, Demokratie und Soziales",Potsdam,1990-01-01
Naprej,,1868-10-19
Clube do Comércio de Porto Alegre,Porto Alegre,
Oxford University Gliding Club,,1937-01-01
Zentralverband der Industrie für Böhmen und Mähren,,1939-01-01
Reichsverband der Kolonialdeutschen und Kolonialinteressierten,,1918-01-01
Deutsche Handelskammer in Finnland,,1929-12-16
Förderverein Romanische Kirchen Köln,,1981-01-01
EMCR Forum,,2011-01-01
Club Romagnolo Auto e Moto d'Epoca,Imola,1966-12-02
Basque Economic Agreement Group,,2016-01-01
Swiss Club,Ñuñoa,
Fillmore Democratic Club,San Francisco,1946-01-01
The University Women's Club,City of Westminster,
Club des Hashischins,,1844-01-01
Kunstverein Trier Junge Kunst,Trier,1985-01-01
Sonoma Valley Woman's Club,,1901-09-21
