col0,col1
Dulcinea,New International Encyclopedia
Knecht Ruprecht,Nordisk familjebok
Charles Evans,Who's Who in Star Trek 1
Oliver,Brockhaus and Efron Encyclopedic Dictionary
Jerry Cotton,Medvik
Iago,The Nuttall Encyclopædia
Yorick,The Nuttall Encyclopædia
Ivan Tsarevich,Brockhaus and Efron Encyclopedic Dictionary
Dunno,The Adventures of Dunno and his Friends
Jean Valjean,The New Student's Reference Work
Bradamante,The Nuttall Encyclopædia
Han Fu,History of Ming
Falstaff,Brockhaus and Efron Encyclopedic Dictionary
Nancy Drew,Girl Culture: An Encyclopedia
Armida,Brockhaus and Efron Encyclopedic Dictionary
Robin Hood,Brockhaus and Efron Encyclopedic Dictionary
Aeneas,Brockhaus and Efron Encyclopedic Dictionary
Xena,Geek Heroines: An Encyclopedia of Female Heroes in Popular Culture
