col0,col1,col2
Monument a Jacint Verdaguer,172,
Römerbrunnen,1150,
Water stairs,1.4,
Water gate,8,
King Fahd's Fountain,312,
font de Baix,,402
Monument to work,,76
Fountain to South of Dyffryn House,,45
decorative fountain Wittigkofen castle tenant's house,,555
Gründungsbrunnen,6,
Laundress,2.7,
Garden Fountain in grounds at Bryn-y-Neuadd Hospital,,13
Pont del torrent de la font de Buc,,546
Petrusbrunnen,750,
fountain stele,6,
Source of Life,,553
Een mens van water,7,
Fonts de Sant Roc,,450
"Drinking Fountain, A 490 (Ne Side), Bwlch-Y-Cibau",,151.4
Caldron fountain,3,
Font,,532
Hirschbrunnen,,346
courtyard fountain school house Stapfenacker,98,559
Font de la Figuera,,525
