col0,col1
Germany,Bremen
Slovenia,Municipality of Divača
Sudan,Gezira
Norway,Vestland
Guinea,Conakry
France,French Guiana
Moldova,Ștefan Vodă District
Estonia,Hiiu County
Lebanon,Mount Lebanon Governorate
Vatican City,
United Arab Emirates,Emirate of Sharjah
Lithuania,Marijampolė County
United Kingdom,England
East Timor,Bobonaro Municipality
Malaysia,Kuala Lumpur
Romania,Vâlcea County
Belarus,Minsk
People's Republic of China,Beijing
Peru,Callao Constitutional Province
Italy,Emilia-Romagna
Venezuela,Táchira
Jordan,Mafraq Governorate
Serendip,
Tanzania,Dar es Salaam
Cuba,Havana Province
