col0,col1
Leipzig-Engelsdorf,1906-01-01
Gare d'Auxy - Juranville,
Wakana Station,1926-10-14
Raritan River Freight Station,
Gare de Chalandray,
Mennock Lye Goods Depot,
Archi railway station,
Gare ferroviaire de Vouziers,
Shibaura Station,1930-08-01
Passau Gbf,
Kőbánya-teher railway station,
Gare d'Engenville,
Praha-Modřany,
Gare de Coulombiers,1856-07-07
Regensburg Bayernhafen,
Honmoku Futō Station,1969-10-01
railway station Coussey,
Zhijiang Railway Station,
MegaHub Lehrte,
Fujiwara Station,1971-08-02
Yunokibaru Station,1903-04-18
Genève Montbrillant station,
Morito Station,1932-02-17
Livorno Calambrone railway station,1987-01-01
