col0,col1,col2
Senusret before an offering-C 21,60,43.3
Stela dedicated to Re-Harakhty by the draftsman Pay Limestone,47.3,31.5
Mery Hetepouy and Khety-C 19,46,63.3
"Funerary stela of Christopher, in Coptic Sandstone",32,22.5
Falcon-headed god-MAHG MF 1308,35,25.5
Stele of god Adad AO 13092,136,54
"Stela showing the deceased libating to Osiris, with the jackal god Anubis between them Limestone",54,36
Monument à Joseph Poux,180,
Libation to a vegetation goddess relief-AO 276,17.4,16
funerary banquet,108,127.5
Fragment of a stele-AO 4574 bis,7.5,6.7
victory stele of an Akkadian king,54,26
Stele of Chief Treasurer Sakherty-C 196,64,54
Stele-E 21714,36,21
"Stela of Djehutynefer called Seshu, accountant scribe of cattle and fowl in the temple of Amon, and his wife, the house-mistress Benbu Limestone",47.2,31
Lady Nestarut led by Thot to Atum-N 3662,25.5,22.4
stele of Iuny,49,34.3
stele of Iuny,17.7,11.4
Stele of Nefertiabet-E 15591,37.7,52.5
Votive ear stela dedicated to the goddess Nebethetep by Usersatet Limestone,17.5,14
