col0,col1,col2
Azarovo,Myatlevsky Uyezd,
Sandriegel,Kals am Großglockner,
Schwarze Wand,Hollersbach im Pinzgau,Venediger Group
Schwarze Wand,Ischgl,Samnaun Alps
Nassfeld,Heiligenblut,Glockner Group
Salina,Sambir Raion,
Juancho,General Madariaga Partido,
Eisbichl,Fusch an der Großglocknerstraße,
Hessenberg,Weitersfeld,
Bregovi,,Bjelasica range
Im Grund,Kals am Großglockner,Glockner Group
Marinkovac,,Bjelasica range
Karwand,Fusch an der Großglocknerstraße,Glockner Group
Hoppen-Berg,Thuringia,
Stadt-Berg,Thuringia,
Khreshchatyk,Podil Raion,
Kurapaty,Minsk District,
