col0,col1
The Good Wife,Shirley Jackson
Younger,Brian Evenson
The Spanish Lady,Alice Munro
Myrrha,Gary Jennings
Blood Sacrifice,Susan Shwartz
Sword Blades and Poppy Seed,Joanna Russ
Freefall,Eric James Stone
Tourists,Rammel Chan
Hush!,Anton Chekhov
What a Thought,Shirley Jackson
Karma,Rishi Reddi
Another Story,Ursula K. Le Guin
Cortes Island,Alice Munro
Nettles,Alice Munro
A Night In,
Sublimation,Jennifer Haigh
"Lust, Caution",Eileen Chang
Tagahoovis,Oskar Luts
Gas,Alfred Hitchcock
Mnemosyne,Catherine MacLeod
One Giant Leap,
Wireless,Rudyard Kipling
