col0,col1
Plan van Antwerpen en de citadel,
"Clarissimus Erycius Puteanus Historiographus, Regius Professor Consiliarius Etc.",17
"Clarissimus Erycius Puteanus Historiographus, Regius Professor Consiliarius Etc.",20.3
James Northcote,14.1
Chemin creux,
Lewis Francis Roubiliac,23.3
Lewis Francis Roubiliac,20.6
Lowestoffe Lighthouse (vignette),30.8
Lowestoffe Lighthouse (vignette),30.5
Hermitage Castle,
Dunbar,37.5
The stable,
Peter Tillemans,23.4
Old Saumur,
Envy,
Sir Joshua Reynolds,33.9
Sir Joshua Reynolds,34.3
Sir Joshua Reynolds,14.3
Reading woman,
Whitlingham,27.3
"Le Carceri d'Invenzione, plate XIV: The Gothic Arch",54.8
"Le Carceri d'Invenzione, plate XIV: The Gothic Arch",
Bridge of St. Cloud from Sevres,
Linlithgow Palace,
