col0,col1,col2
Santo Stefano,Catholicism,
Shrine of Our Lady of Europe,Catholicism,European Marian Network
St. Katharina,,list of cultural properties in Innerthal
St. Elizabeth Catholic Church,Catholicism,
San Pietro,Catholicism,
San Pietro,Catholicism,
San Pietro,Catholicism,
San Pietro,Catholicism,
Church of the Resurrection,Catholic Church,
Santi Filippo e Giacomo,Catholicism,
Santi Filippo e Giacomo,Catholicism,
Santi Pietro e Paolo church,Catholicism,list of cultural properties in Brissago
San Giovanni Battista,Catholicism,
San Giovanni Battista,Catholicism,
San Giovanni Battista,Catholicism,
San Giovanni Battista,Catholicism,
San Giovanni Battista,Catholicism,
Sant'Andrea Apostolo Church,Catholicism,
Chiesa di San Martino Vescovo,Catholicism,
church of St. Mary Major,Catholicism,
roman catholic parish church,,list of cultural properties in Schupfart
roman catholic parish church,,list of cultural properties in Oberrüti
roman catholic parish church,,list of cultural properties in Dietwil
roman catholic parish church,,list of cultural properties in Stetten AG
