col0,col1
One International Finance Centre,
Seu de l'Editorial Sopena,
Forum Bonn,
Taunusanlage 11,75
Gewerkschaftshaus Dresden,
Confederation Building,
Confederation Building,41
Haus der Werbung,38.5
Janssens-Orella-Birk Building,
Dagens Nyheter Tower,
Düsseldorf Kasernenstrasse 40,
Church Administration Building,
One Angel Square,72
Rössler and Fischer spice factory,
Cincinnati and Suburban Telephone Company Building,
"Hamashbir, King George Street, Jerusalem",
Mitsubishi Heavy Industries Yokohama Building,
"Kobe Commerce, Industry and Trade Center Building",
Numbers 2 and 4 and railings to areas,
Marunouchi Yaesu Building,120
Handford Block,
Neroport,
Helmsley Building,172
Atelier Dirk Cousaert,
