col0,col1,col2
Spencer Dam,1927-01-01,
Spring Creek Dam,,1963-01-01
Broken Bow Dam,,1961-01-01
Monticello Dam,1983-01-01,
Berke Dam,,1986-01-01
Kleivane power station,2008-01-01,
Kleivane power station,2004-01-01,
Sagelva power station,2007-01-01,
Sagelva power station,2019-01-01,
Sagelva power station,2006-01-01,
Kentucky Dam,,1938-01-01
Crystal Dam,1978-01-01,
Grand Coulee Dam,,1941-01-01
Marszowice,,1920-01-01
Fontana Dam,,1942-01-01
Wolf Creek Dam,,1941-01-01
Lower Baker Dam,,2010-01-01
Jiangya Dam,,1998-10-18
Long Lake Dam,,1915-01-01
Swift Dam,,1956-01-01
