col0,col1
MVP Supercup of Spain,
European Sportsperson of the Year,
European Sportsperson of the Year,
Jeff Nicklin Memorial Trophy,1946-01-01
Idrottsmärke,
New Zealand NBL Rebounding Champion,1982-01-01
Gouden Stuur,
Halberg awards,
Soccer Coach of the Year Award (Switzerland),
RDS Cup,
Wil Haggenburg Trophee,1969-01-01
Wild Country Rock Award,
Sam Pollock Trophy,
Premier League Manager of the Month,
Ricardo Zamora Trophy,1959-01-01
Champion des champions français de L'Équipe,1946-01-01
Serie A Footballer of the Year,1997-01-01
NHL Plus-Minus Award,1982-01-01
New Zealand NBL Most Valuable Player Award,2003-01-01
STATS FCS Coach of the Year,2015-01-01
Veli-Pekka Ketola trophy,1978-01-01
Gordie Howe Trophy,
Marcel Robert Trophy,
Haskins Award,
