col0,col1
Huzebosk 2a,Boarnsterhim
Buland Darwaza,Agra district
Château Neercanne: gatehouse and farm,Maastricht
Poortgebouw Siccema State (Herbaijum),Franekeradeel
Poortgebouw Huis Doorn,Utrechtse Heuvelrug
"Pforte zum Waldpark Blasewitz, Goetheallee 26",Dresden
gate building Vroedvrouwenschool,Heerlen
Schaloen Castle: outbuildings including gatehouse,Valkenburg aan de Geul
Friedhofstor,Kitzingen
Borgharen Castle: gate house with porter's lodge,Maastricht
Norbertijnerpoort,Tilburg
"Proveniershuis, Schiedam",Schiedam
Huis Gronsveld: gate building,Eijsden-Margraten
gate building in Själö hospital area,Pargas
"3, Tamka Street in Warsaw, gate",Śródmieście
