col0,col1,col2
St. Ignatius High School,1850-01-01,
St John's Priory School,1957-11-28,St John's Priory School
St Cuthbert's College,1915-01-01,Epsom
Chaminade College Preparatory School,1952-01-01,
GD Goenka Toddler House,2019-04-20,Kanta Kathuria Colony
The Meadows School,1984-01-01,
Lindisfarne College,1891-01-01,
Lindisfarne College,1953-04-14,Frimley
Scots College,1916-01-01,Strathmore
Rocket School,2018-02-01,Pohuehue
St. George's Grammar School,1848-04-11,Mowbray
St George's School,,Whanganui
St. Andrew's School,1978-01-01,
Colegio Champagnat,1927-01-01,
Pigier,1850-01-01,
Hendon College,2018-01-01,Abuja
Saint George's School,1955-01-01,
Methodist Ladies' College,1882-01-01,
St Andrew's College,1917-01-01,Bryndwr
Westminster School,1888-01-01,
