col0,col1,col2
Phillis Wheatley,17.6,12.8
Mensura,152,90
Mensura,152,90
Cheapside Cross,22.2,17.1
Cheapside Cross,22.5,17.5
"Crosby Hall, London",21.4,29.5
Confession,253,188
Crosby Hall,27.9,21
Saint Mark,259,193
Saint Mark,259,193
Job Receiving The ill- News of His Misfortunes,210,250
Job Receiving The ill- News of His Misfortunes,210,250
The Baptism of Christ,199,266
Christ Carrying the Cross,157,116
Christ Carrying the Cross,116,83
Il Castello che al Presente si Dice Sant'Angelo Anticamente Fu il Sepolcro de Adriano,44.1,38.1
Il Castello che al Presente si Dice Sant'Angelo Anticamente Fu il Sepolcro de Adriano,46.7,33.7
The Fall of the Rebel Angels,21.5,14.9
Brinkburn Priory,27,37.5
Europa,153,90
