col0,col1
Metzad,Gush Etzion Regional Council
Ganei Tal,Hof Aza Regional Council
Ganei Modi'in,Mateh Binyamin Regional Council
Immanuel,Judea and Samaria Area
Nahal Ginat,
Etz Efraim,Shomron Regional Council
Alfei Menashe,Qalqilya Governorate
"Nimrod, Golan Heights",Golan Regional Council
Migdalim,Shomron Regional Council
Otniel,Har Hevron Regional Council
Neve Daniel,Gush Etzion Regional Council
Shim'a,Har Hevron Regional Council
Sha'al,Golan Regional Council
Shomron Regional Council,Judea and Samaria Area
Mahane Givon,Giv'at Ze'ev
Mevo Horon,Judea and Samaria Area
