col0,col1
2007 Iwate gubernatorial election,governor of Iwate Prefecture
1942 Colorado gubernatorial election,Governor of Colorado
1966 Colorado gubernatorial election,Governor of Colorado
1962 Colorado gubernatorial election,Governor of Colorado
1958 Colorado gubernatorial election,Governor of Colorado
1956 Colorado gubernatorial election,Governor of Colorado
1954 Colorado gubernatorial election,Governor of Colorado
1952 Colorado gubernatorial election,Governor of Colorado
1950 Colorado gubernatorial election,Governor of Colorado
1948 Colorado gubernatorial election,Governor of Colorado
1946 Colorado gubernatorial election,Governor of Colorado
1944 Colorado gubernatorial election,Governor of Colorado
1819 Alabama gubernatorial election,Governor of Alabama
1821 Alabama gubernatorial election,Governor of Alabama
1977 American Samoan gubernatorial election,Governor of American Samoa
1813 Delaware gubernatorial election,Governor of Delaware
1944 Ohio gubernatorial election,Governor of Ohio
1942 Ohio gubernatorial election,Governor of Ohio
1940 Ohio gubernatorial election,Governor of Ohio
1995 Osaka gubernatorial election,Governor of Osaka Prefecture
2020 Tokyo gubernatorial election,Governor of Tokyo
1964 Michigan gubernatorial election,Governor of Michigan
1962 Michigan gubernatorial election,Governor of Michigan
1960 Michigan gubernatorial election,Governor of Michigan
1958 Michigan gubernatorial election,Governor of Michigan
