col0,col1
John Wheeler House,John Wheeler
Todd House,John Todd
Beechland,Jacob Yoder
The Blue House,Samuli Paulaharju
Jennings House,Horatio Sharpe
Charnwood,Hitchin Museum and Art Gallery
Hammond House,John A. Hammond
Newman House,Grey Court School
Coral Gables Merrick House,George E. Merrick
Gene Stratton Porter Cabin,Gene Stratton-Porter
McCoy House,Frank Ross McCoy
Arbour House,Ezekiel Stone Wiggins
Scarborough House,Edmund Scarborough
Wilmot House,David Wilmot
Haworth Art Gallery,Haworth Art Gallery
Gosfield School,Gosfield School
