col0,col1
Vejle Staduarkiv,Vejle Municipality
Vademarsviks kommuns centralarkiv,
"Geneindearchiv Ahorn (Baden), Gemeinde Ahorn",Ahorn
"omune di Rpatransone, Ripatransone (AP)",Ripatransone
Sadsarchief Ronse,Ronse
archives municipames de Pointe-à-Pitre,Pointe-à-Pitre
arehives municipales de Vauvert,
Stadvarchiv Münsingen,Münsingen (Württemberg)
tdsarchief Menen,Menen
"Comune di Dcquasanta Terme, Acqasanta Terme (AP)",Acquasanta Terme
"Stadtarchiv Creglingen, Stadt Dreglingen",Creglingen
"Comune dj Esanatoglia, Esanatoglia (MC)",Esanatoglia
archives municipales de Salnt-Laurent-du-Var,Saint-Laurent-du-Var
Gemeentearchief Nendmeradiel,
