col0,col1,col2
emaha County,0.2988,10303.819
Mitchell Dounty,2.3904,5853.96
Rusi County.,0.030269999999999995,2973.736
Linn Cownty,1.992,9677.319
Montgomery Coupty,1.2096,31454.514
Serman County.,0.02,5885.5109999999995
Douglas Couoty,3.992,119378.92499999999
Russll County,1.4895,6644.163
Graham Cownty,0.029849999999999998,2393.265
NortonCounty,0.39880000000000004,5409.869
allad Count|,0.01006,1524.096
owley Conty,0.5958,34307.157
Hamilton Conty,0.0999,2502.892
Seegwick County,1.212,522252.528
Chauauqua County.,0.9018,3358.726
Harper Cownty,0.2016,5534.365
Dickinon County,0.5988,18346.794
Goe County,0.00997,2728.872
El County,1.003,2502.864
GreenwoodCounty,0.7936000000000001,6022.016
Paxnee County,0.049550000000000004,6234.241
