col0,col1
"A Rake's Progress, Plate 6",1750-01-01
Borago cretica,
Triomfboog voor het vroegere huis van de Fuggers,1602-01-01
Venerable Remains of London Wall,1800-01-01
The Monument of King Edward and his brother Richard,
Portrait of a Man (Duke of Bridgewater ?),
David Playing the Harp before Saul,1589-01-01
David Playing the Harp before Saul,1589-01-01
"Vignette: lettered ""Bono Eventui""",
Allium lacteum,
"Theatre Royal, Haymarket",1823-01-01
A Man and Woman Singing,1781-01-01
Palacio dos Condes de Alvôr,
Aegilops comosa,
Poenitentia,1587-01-01
