col0,col1,col2,col3
Sidi Azzouz,2578,,14356
Chouafaa,3072,,18436
Zirara,3303,,16606
Aoulouz,3633,,17409
Almis Marmoucha,475,,2461
Masmouda,3650,,16106
Kissane,3036,,13390
Anougal,874,,4353
Ounagha,2807,,12461
Sidi Harazem,1228,,5622
Tancherfi,1071,,6433
Soualem,8454,,36765
Oulad Azzouz,1754,,9815
Missour,5923,895,25584
Amtar,1766,,10574
Haddada,2758,,15898
Tiout,664,,2920
Moulay Abdelkader,1386,,7896
Oulad Sbaita,4392,,25650
Brikcha,2438,,10399
Mezguita,970,,8451
Ait Youssef Ou Ali,2598,,12673
Haouzia,5684,,28821
Souihla,5552,,28164
