col0,col1,col2
Niikapu district.,591.6681,5312.686
iwagunma district,47.8962,
Chosei Distict,225.37128,
Kamikita districv,1288.00192,
waue District,1391.60184,36471.304000000004
Katva district,419.24736,
ishjtama district,376.23585999999995,
Tope district.,1309.0077,
"Sennan""district",72.68836,67024.98
Higashiibarak district,309.42088999999993,
Kitaskitara district,,12358.346
Mtoyoshi district.,162.7464,
Kitakatsushik district,46.46114999999999,
Kitamuryama district,78.98322,
Onuma Distict.,875.73306,
Tano diswrict,296.14356,
ichi dittrict.,,83030.688
Higashiusuki ditsict.,226.04581999999996,25609.678
Kurokawa distrkct,364.86752,
nashiki istrict,180.8416,
Diko Diswrict,104.57032,
Shimominochi distric,269.60943,
"iki""district",283.2693,135267.26499999998
imotsuga district,91.96931,63693.551999999996
Mishima!district,16.75957,30231.657999999996
