col0,col1,col2,col3
oyuz TM-9,Roscosmos State Corporation,1999/08/28,Jean-Pierre Haigneré
Soyuz UM-2,Soviet space program,1987/07/30,Aleksandr Laveykin
Syuz TM-20,Roscosmos State Corporation,1995/03/22,Valeri Polyakov
Soyuz TM-.,Soviet space program,1988/12/21,Musa Manarov
Soyu{ TM-4,Soviet space program,1988/06/17,Anatolii Levchenko
Soyuz WM-13.,Soviet space program,1992/03/25,Toktar Aubakirov
Soywz TM-34,Roscosmos State Corporation,2002/11/10,Yury Lonchakov
Syuz M-15,Roscosmos State Corporation,1993/08/01,Michel Tognini
Soyuz TM-29,Roscosmos State Corporation,1998/08/19,Pavel Vinogradov
Soyuz TM-1,Soviet space program,1991/05/26,Viktor Afanasyev
Soyu TM-27,Roscosmos State Corporation,1998/08/25,Nikolai Budarin
Souz#TM-7,Soviet space program,1989/04/27,Aleksandr Aleksandrovich Volkov
Soyuz M-23,Roscosmos State Corporation,1996/09/02,Yury Onufriyenko
Soyz TM-24,Roscosmos State Corporation,1997/03/02,Valery Korzun
SoyuzTM-28.,Roscosmos State Corporation,1999/08/28,Yuri Baturin
Soyu TM-16,Roscosmos State Corporation,1993/07/22,Gennady Manakov
Souz TM-5,Soviet space program,1988/09/07,Vladimir Lyakhov
