col0,col1
Break Every Rule,Tina Turner
Here Are the Young Men,Joy Division
Red Tape,
Live in Colombia,Alan Parsons
Anniversary Waltz,Status Quo
Famous in the Last Century,Status Quo
Galore,The Cure
Living with the Past,Jethro Tull
Epitaph,Judas Priest
God Is in the House,Nick Cave and the Bad Seeds
Ultimate Revenge,various artists
Live at Budokan,Red Hot Chili Peppers
Live in San Diego,Metallica
Zerofobia,Renato Zero
On Tour,Yann Tiersen
Deuce,Korn
The Last Supper,Black Sabbath
Greatest Hits,Kumbia Kings
Greatest Hits,The Cure
Greatest Hits,Mariah Carey
Greatest Hits,The Cure
Diario Carboni,Luca Carboni
Discovery,Tokyo Jihen
Raising Hell,Iron Maiden
Iona,Iona
