col0,col1
Dan and Ada Rice,Dan Rice
Dana and Ginger Lamb,Dana Lamb
Brenda and Robert Vale,Brenda Vale
Augusto and Michaela Odone,Augusto Odone
Bertram K. and Nina Fletcher Little,Nina Fletcher Little
Berta and Elmer Hader,Elmer Hader
Asa and Lucy Goodale Thurston,Asa Thurston
Aylmer and Louise Maude,Aylmer Maude
Bill and Bobbie Irvine,Bill Irvine
Difang and Igay Duana,Kuo Ying-Nan
Bodie and Brock Thoene,Bodie Thoene
Barry and Holly Tashian,Barry Tashian
Bill and Ruth Lucas,Bill Lucas
Gert and Hermien,Hermien van der Weide
Andrea Robbins and Max Becher,Andrea Robbins
Burns and Allen,Gracie Allen
Xenophon and Maria,Xenophon
Dhananjayans,Vannadil Pudiyaveettil Dhananjayan
B. C. Schiller,Barbara Schiller
Dirk and Wilhelmina van Mourik,Dirk van Mourik
John Bell Clayton and Martha Clayton,John Bell Clayton
