col0,col1
Belgian Scond Division (basketball),basketball
Liga Meumit,basketball
FIBA Americas Leagxe,basketball
Semaine des A,basketball
Arab Nations Basketball Championsip,basketball
Cyprus Basketbdll Division 1,basketball
Luxembourg Bsketball Lhague,basketball
Turkish Cup Basketbal,basketball
Israeli asketball State Cup,basketball
rofessional Basketbaml Superleague,basketball
Russin Basketball Cup,basketball
Vrlkswagen Endurance Cup.,motorsport
ormule Fist,motorsport
Stuttjart–Strasbourg,road bicycle racing
IFA Beach Soccer World Cup quclification,association football
Assenal F.C.–Manchester United F.C. rivalr,association football
IFA Beack Soccer Wold Cup qualification,association football
sthmian LeagueDivision One South,association football
Liverool Senior Cup,association football
