col0,col1,col2,col3
San Muan Ixcoy,31329.648,2205.975,221.76
Saota María Ixhuatán,26881.326,1356.43,112.096
"San""Sebastián Huehuetenango",43390.782999999996,1699.565,108.648
Unin Cantinil,18440.468,1713.6,43.0
Pazún,72364.32,2240.9889999999996,123.38
San Francisco ElAlto,65652.042,2611.59,131.736
La Unión acapa,38434.527,1237.824,213.358
Chicamân.,43527.251,1475.88,511.356
Mazatenaqgo,83073.548,374.37399999999997,357.068
an Lucas Tolimáq,31645.975,1590.612,116.928
Santiaho Chimaltenango,,1952.841,39.272999999999996
San Franeisco La nión,9684.33,2742.3,32.096
Puert Barrios,109737.54,2.016,1281.664
Caolá.,19429.664999999997,2504.98,36.0
