col0,col1,col2
Boon Township,84.93,129
Prairie Township,24,205
Prairie Township,40.73,319
Prairie Township,35.76,260
Prairie Township,39.69,273
Prairie Township,47.66,223
Prairie Township,66.61,209
Niles Township,29.61,283
Kent Township,14.11,209
Medina Township,27.07,213
Floyd Township,34.39,259
Keener Township,48.26,203
Hammond Township,42.1,122
Winfield Township,25.06,222
Abington Township,21.17,326
Rushville Township,43.94,296
Finley Township,39.62,190
Carpenter Township,52.38,225
Steele Township,43.39,137
Oregon Township,36.12,213
Oregon Township,31.27,203
Iroquois Township,36.8,197
Honey Creek Township,14.72,259
