col0,col1,col2,col3
TYC 3551-1307-1,13180,6465,49.49338741875999
KOI-5944,11500,5933,50.28153009851
Kepler-324,29500,5283,49.64899723532
KIC 10905824,5600,8359,48.3402211710953
KIC 11815158,10200,7126,50.0621465859878
KOI-3464,4700,5260,50.1501131822673
KOI-7425,13500,6520,48.9033826740715
KOI-2813,349.9,4703,48.8561503
KIC 11774013,13200,6581,49.9162713061391
KOI-3419,8530,5914,49.46913704476
KOI-3471,9100,4815,50.1473977176121
Kepler-96,31900,5750,40.52514551913
TYC 3140-482-1,12600,6307,40.0242044009187
V* AU Men,11577,6359,-72.69334203676
BD+13 1880,44700,7639,12.60136359564
V* FX Eri,740,6180,-41.5276608872943
GM Hydrae,7480,5637,5.85013277548
KOI-979,10,3559,40.8435626671203
WASP-91,29500,4936,-70.15285401015
HD 252612,6970,6378,23.79416480087
EPIC 211705654,15000,5134,15.98998584608
TYC 6783-842-1,11700,6098,-25.47377518035
V* V1207 Cen,2.51,5558,-32.88706710901
HD 226794,6300,8549,41.355165132355
