col0,col1,col2
iv'at Avoi,280.674,2079.118
an!Ner,178.593,2690.7039999999997
BarYohai,689.924,1069.856
Gidonc.,-16.932,408.123
Merhax Am,537.675,333.0
Mitzpe Yeuiho,159.2,2549.76
Alon HGalil,214.06499999999997,1128.062
Gita,430.272,263.34
MerkazOmeo,64.384,385.839
Beit!Hashmonay,113.452,2179.424
MerkazYael,73.584,125.748
Shimshi,225.774,2519.028
Anuma,83.748,540.222
vnt,-333.3,235.10399999999998
Mit|pe Aviv,134.804,1079.6299999999999
ataf,502.98,376.488
Talmoo,560.0,4579.575
itzpe Iila,495.0,575.5749999999999
Eli,711.42,4406.17
Ma'ale Amou.,708.5649999999999,668.304
lazar,901.81,2434.41
ikhanim,438.561,439.013
