col0,col1,col2
Bank of New Zealand (Former),"12–14 High Street, Marton",
Bank of New Zealand (Former),"59 Arawa Street, Matamata",
Bank of New Zealand (Former),"12–14 Victoria Road, Devonport, Auckland",
Bank of New Zealand (Former),"90–92 Kana Street, Mataura",
Hayloft Theatre,,Celery Flats
Puig Castellar,,Puig Castellar
Omanawa Falls Power Station,"Omanawa Falls Road, Tauranga",
Winslow,,La Posada Historic District
Franconia,"136 The Terrace, Wellington",
Advocate Building,"26–28 High Street, Marton",
Hagley House,,Fendalton
Old Store,"372 Te Ahu Ahu Road and Showground Road, Waimate North",
