col0,col1
OGLE LMC570.26.000215,17.888
OGLE BLG-ELL-13035,17.913
OGLE BLG-ELL-10176,18.072
OGLE BLG-ELL-19002,18.283
OGLE BLG-ELL-12012,15.769
OGLE BLG-ELL-18687,15.521
OGLE BLG-ELL-19636,19.346
OGLE BLG-ELL-16493,17.915
OGLE BLG-ELL-11396,18.663
OGLE BLG-ELL-18728,18.016
OGLE BLG-ELL-13789,18.619
OGLE BLG-ELL-18257,18.44
2MASS J06392574+0740257,14.0408
2MASS J09350801+2700493,16.03
OGLE BLG-ELL-12981,15.144
OGLE BLG-ELL-10076,20.094
OGLE LMC570.20.000060,17.0446
OGLE BLG-ELL-15191,18.183
OGLE BLG-ELL-12764,17.5
OGLE BLG-ELL-17002,17.998
OGLE BLG-ELL-16202,17.87
OGLE BLG-ELL-14231,18.094
