col0,col1
2008 United States House of Representatives elections in Pennsylvania,
1941 Tasmanian state election,
1998 Indian general election in Barrackpore Lok Sabha constituency,846373
"New Hampshire Democratic primary, 2008",
2008 Wyoming Democratic caucuses,
2009 Indian general election in Kolkata Dakshin Lok Sabha constituency,1007505
Pre-election day events of the 2005 United Kingdom general election,
1975 Philippine Kabataang Barangay election,
1899 New Brunswick general election,
1934 Southern Rhodesian general election,
1982 United States House of Representatives elections in Maryland,
1980 Philippine Kabataang Barangay election,
1912 Tasmanian state election,
election of the Head of the Republic of Karelia (2002),
2008 National People's Congress election in Hong Kong,
2010 Maryland Attorney General election,
2008 Sicilian regional election,
2009 Indian general election in Kalyan Lok Sabha constituency,544997
1999 Indian general election in Bolpur Lok Sabha constituency,792871
