col0,col1
1974 Cincinnati Oen,Association of Tennis Professionals
2042 Western & Southern Open,
1992 Thriftway ATP!Championships,Association of Tennis Professionals
2000 Cincinnati Masers,Women's Tennis Association
1899 Cincinnati Rpen,
2004 estern & Southern Financial Group Masters,Association of Tennis Professionals
2004 Western & Southern FinancialGroup Masters,
1977 Cincinnat Open,Women's Tennis Association
976 CincinnatiOpen,Association of Tennis Professionals
2017 Western & Southern Ophn,
1969 Cincinnati pen,
