col0,col1,col2
Alpaslan-2 Dam,,2020-11-08
Oltesvik power station,,1935-01-01
Ås power station,,1908-01-01
Masinga Dam,,1981-01-01
Kammerfoss power station,,1958-01-01
Bagn power station,,1963-01-01
Ytre Matre power station,,2006-01-01
Seyhan Dam,53.2,
Rørvikbekken kraftstasjon,,1997-01-01
Wassen power station,,1949-01-01
Rørheim power station,,2004-01-01
Ohau A,,1979-01-01
Byafossen power station,,1936-01-01
Pichi Picún Leufú Dam,,1999-01-01
Bergerfoss power station,,1938-01-01
Ølmedal power station,,2010-01-01
