col0,col1,col2
1982 FIFA World Cup qualification – UEFA Group 6,1981-11-18,
1994 FIFA World Cup qualification – UEFA Group 6,1993-11-17,
2022 FIFA World Cup qualification – UEFA Group F,2021-11-15,
1954 FIFA World Cup qualification Group 8,1953-11-08,
2014 FIFA World Cup qualification – UEFA Group G,2013-10-15,30
2014 Dutch Olympic qualification tournament for speed skating,2013-12-30,
1986 FIFA World Cup qualification – UEFA Group 1,1985-10-30,
2021 Africa U-20 Cup of Nations qualification,,66
2007 World Men's Handball Championship – qualification,2006-06-18,
2010 FIFA World Cup qualification – UEFA Group 9,2009-09-09,
2022 FIFA World Cup qualification – UEFA Group E,2021-11-16,
2017 UEFA European Under-21 Championship qualification,,254
2018 FIFA World Cup qualification – UEFA Group A,2017-10-10,15
2022 FIFA World Cup qualification (CONMEBOL),,89
Handball at the 2024 Summer Olympics – Women's qualification,2024-04-14,
2022 FIFA World Cup qualification – UEFA Group B,2021-11-14,
