col0,col1,col2
Penghu Living Museum,4,
Museum of Santa Verdiana,,178
The New Collection,,100000
České muzeum stříbra,,100000
National Pedagogical Museum and Library of J. A. Comenius in Prague,,59879
archeological museum Barro,,400
Bob Hope Patriotic Hall,10,
Pinacoteca de Sobral,,250
Museum of San Marco,,2000
Aufidenate Civic Museum,,500
Jews in Latvia Museum,,15071
Leonardo Museum,,111
Wulai Atayal Museum,4,
Peoples of Bashkortostan Ethnographic Museum,,10000
Memorial of J. A. Comenius,2,
Regional Museum of K. A. Polanek,,44272
Teatro romano,,690
Regional Gallery of Fine Arts in Zlín,,6310
Villa Pisani,,1520
Museo archeologico nazionale di Siena,,1284
