col0,col1,col2
Winterthur,list of cultural properties in Winterthur,UTC+01:00
Schaffhausen,list of cultural properties in Schaffhausen,UTC+01:00
Lucerne,list of cultural properties in Lucerne,UTC+01:00
Uzwil,list of cultural properties in Uzwil,UTC+01:00
Wil,list of cultural properties in Wil SG,UTC+01:00
Weinfelden,list of cultural properties in Weinfelden,UTC+01:00
St. Gallen,list of cultural properties in St. Gall,UTC+01:00
Schwyz,list of cultural properties in Schwyz,UTC+01:00
Sarnen,list of cultural properties in Sarnen,UTC+01:00
Rorschach,list of cultural properties in Rorschach,UTC+01:00
Richterswil,list of cultural properties in Richterswil,UTC+01:00
Olten,list of cultural properties in Olten,UTC+01:00
Meilen,list of cultural properties in Meilen,UTC+01:00
Flawil,list of cultural properties in Flawil,UTC+01:00
Einsiedeln,list of cultural properties in Einsiedeln,UTC+01:00
Buchs,list of cultural properties in Buchs SG,UTC+01:00
Uster,list of cultural properties in Uster,UTC+01:00
Glarus,list of cultural properties in Glarus,UTC+01:00
Basel,list of cultural properties in Basel,UTC+01:00
Davos,list of cultural properties in Davos,UTC+01:00
Allschwil,list of cultural properties in Allschwil,UTC+01:00
Altdorf,list of cultural properties in Altdorf UR,UTC+01:00
Stans,list of cultural properties in Stans,UTC+01:00
Aigle,list of cultural properties in Aigle,UTC+01:00
Lugano,list of cultural properties in Lugano,UTC+01:00
