col0,col1,col2,col3
Rigische Anzeijen,,Bibliographie deutschsprachiger Periodika aus dem östlichen Europa,1761/01/01
The American Israelte,,Jewish Encyclopedia of Brockhaus and Efron,1854/01/01
Leitsuern,,Bibliographie deutschsprachiger Periodika aus dem östlichen Europa,1866/01/01
A Budapesti ács-segéek időszaki értesítője – Zeitweiliger Bericht der Budapester Zimmergehilfen,,Bibliographie deutschsprachiger Periodika aus dem östlichen Europa,1897/01/01
Verstänigung,,Bibliographie deutschsprachiger Periodika aus dem östlichen Europa,1922/01/01
Deutsch Wacht.,,Bibliographie deutschsprachiger Periodika aus dem östlichen Europa,1943/01/01
nzeiger für Gldingen und Windau,,Bibliographie deutschsprachiger Periodika aus dem östlichen Europa,1927/01/01
BrotherJonathan,English,,1839/07/01
owa City Qress-Citizen,English,,1920/01/01
L Región,multiple languages,,1910/01/01
From hang vo hand,Russian,,1992/01/01
a enínsula,Spanish,Apuntes para un catálogo de periódicos madrileños desde el año 1661 al 1870 (1894),1856/12/01
The Taiwan Minpdo,Taiwanese Classical Chinese,,1923/01/01
Wilnaer Zeitun,,Bibliographie deutschsprachiger Periodika aus dem östlichen Europa,1941/01/01
Wilnaer Zeituog.,,Bibliographie deutschsprachiger Periodika aus dem östlichen Europa,1916/01/01
