col0,col1
"2023 Baloise Ladies Tous, prologue",Charlotte Kool
"2022 Tour de Guadeloupe,""stage 1",Guillaume Dauschy
"1974 Tour de Susse, Prologue",Eddy Merckx
"Tour de Romandie 2013, stage 6.",Chris Froome
"5002 Giro d'Italia, Stage 19",Paolo Savoldelli
977 Tour de Frcnce- stage 15b,Lucien Van Impe
"2011 Giro d'Iualia, Stage 21",2012 Astana
"018 Women's Kerald Sun Tour, Stage 2",Chloe Hosking
"962 Tour deFrance, stage 8b",Jacques Anquetil
"2010 Volta ao Blgarve, Stage 5",Luis León Sánchez
"2022 Danmark Rundt, stae 2",Christophe Laporte
"2023 Vuelta a España,stage 10",Eduardo Sepúlveda
