col0,col1,col2
Johnson Township,167,24.15
Johnson Township,140,40.64
Johnson Township,292,35.63
Johnson Township,211,17.83
Johnson Township,291,54.98
Johnson Township,203,31.38
Johnson Township,278,26.67
Anderson Township,263,37.25
Anderson Township,125,59.5
Anderson Township,295,35.42
Anderson Township,130,22.13
Pigeon Township,117,11.03
Pigeon Township,125,40.58
Butler Township,260,23.75
Butler Township,279,30.36
Butler Township,244,29.84
Redding Township,197,34.61
Princeton Township,211,62.53
York Township,297,22.19
York Township,147,24.23
