col0,col1,col2
87GB 174550.5+642251,199108,
[CBH2010] 053.077999-28.222332,72252,20.5
2MASX J14530086+1640577,13625,18.438
[MWB97] 570,62959,20.01
Arp 220,5427,13.88
LEDA 138542,48337,18.72
2MASX J03414449-5342216,19943,18.8163
LEDA 3095911,45432,21
LEDA 1015024,,19.2635
2dFGRS TGS898Z680,28433,19.3397
MCG+04-27-059,9985,16.17
WINGS J012442.24+085124.4,,17.5954
PGC 55841,3545,17.0541
NGC 5772,4895,12.9
2MASX J01092841-1522471,,14.601
2MASX J11485448-3320410,8614,16.42
4C +37.11,15894,18.5
EQ 013734+293553,,16.5
UGC 7155,16704,18.4282
NGC 4041,1218,11.1
ASV 31,87829,21.14
2MASX J01101406+5010313,7080,18.0475
NGC 5635,4222.6,12.9
IC 485,8371,13.962
