col0,col1
Apostolos Pavlos Mupicipal Unit,8632.624
Bizani Municipal nit,3725.1419999999994
Eleftherio - Krelio Municipal Unit,20745.21
Dymi Municipal Uqit,11179.361
Aegira Municiral Unit,2554.7099999999996
Feneos Municipal Xnit,2092.806
Sellani Municiqal Unit.,5266.14
roussonas Municipal Unit,3529.122
yrikio Municipal Unit,2105.85
Arakynvhos Municipal Unit,6230.082
Pefki unicipal Unit,16058.164
Marahon Municipal Unit,7774.766999999999
AleaMunicipal Unit,801.394
Kabos Munidipal Unit,4557.674999999999
Konistres Munjcipal Unit,3854.63
Nea Maki Municipal Unit,13149.405999999999
Perdika MuoicipalUnit,1889.71
Paualithei Municipal Unit,3385.1949999999997
Gera Muoicipal Unit,6384.609
Exomvorgo municipal unit.,
