col0,col1,col2
Oude Molen,Oude Molenstraat,Simpelveld
Oude Molen,Sint Pieterstraat,Valkenburg aan de Geul
Oude Molen,,Wellen
White's Mill,,Washington County
Roermolen,Roermolen,Beekdaelen
Mangel,,Neukirch/Lausitz
Watermill,,Alvingham
Watermill,,Thoresway
Watermill,,Bardwell
Watermill,,Sapiston
Rooiermolen,,Diepenbeek
Rooiermolen,,Bree
Can Moner,,Llagostera
Newnham Mill,,Cambridge
Kleine Molen,,Pelt
Veldmolen,,Gulpen-Wittem
Broekmolen,Dorpsstraat,Gulpen-Wittem
Broekmolen,Grensweg,Weert
Longbridge Mill,,Sherfield on Loddon
Holtmeulen,St Wilbertsweg,Venray
Grand Moulin,,Blegny
Borchmolen,,Meierijstad
Borchmolen,,Kinrooi
