col0,col1
OGLE BLG534.13 622,-31.358294197630205
JLE BLG103.1 184475,-30.37958846012009
GLEBLG-T2CEP-301,-33.29551754726488
OGLE BLG652.29 87985,-25.569373476335723
MACHO 496261.9,-67.01739207455782
OGLE BLG50.11 151218,-28.94088529495526
[G93c] 246,-60.46849407533891
OGLE BLG173.5 216778,-31.210496419002315
OGLE MMC-T2CEP-17,-68.95390081166875
OLE LMC130.1 160.,-71.04488523056467
OGL BLG249.4 70720,-25.484601202167525
OGE BLG544.21 56636,-23.79067047090756
RGLE BLG500.7 22106,-28.930042921474058
[MFK2313] 9,-29.004349750999996
V* V1833 gr,-30.961903812197598
OGLE BLG68.14 19606,-26.99264952165466
OGLE BL633.4 27900.,-25.159339968462696
OGLE BLG44.9 5619,-25.926313452390385
V*#UW For.,-34.91610328519488
GLE BLG-TCEP-277,-28.548712866012632
