col0,col1
Portrait of Vincenzo Battista.,12.5
Claudio Sánchez Albornoz,
Portrait of Father Ruifeng,67.8
Portrait of the coachbuilder Pierre Simons and his wife Sarah Lane,
Portrait of Nikolaj Rubinstein.,15.5
"Commemorative gravestone to Mariano de Cavia, Madrid",
Portrait of Serafino Amedeo De Ferrari.,37.5
Portrait of Josef Strauss.,26
Portrait of Émile Vincent.,22
Portrait of Gaetano Pugnani.,9
Portrait of Rajinder Dutt,10
Portrait of Johannes Brahms.,19
Nurse who is knitting,
Aus dem Leben unseres Erbprinzen Luitpold,
"Wajid Ali Shah, Ruler of Awadh",
Portrait of Lauro Rossi.,19
Portrait of Francesco Trombini,21
Portrait of Giovanni Battista Candotti.,19.5
Portrait of Carlo Alfredo Piatti.,10.5
