col0,col1,col2
Watertoren,Bergambacht,Netherlands
Vesilinna,Yliopistonmäki,Finland
Watertoren,Sint-Joris-Weert,Belgium
Watertoren,Reet,Belgium
Wasserturm,Eschersheim,Germany
Water Tower,Southbourne,United Kingdom
"Kimmerghame House, Water Tower",Kimmerghame House,United Kingdom
Water Tower,Boscombe,United Kingdom
Gamla vattentornet,Norrköping,Sweden
Watertoren,Ostend,Belgium
Vodojem,Sady S. K. Neumanna,Czech Republic
water tower,Klostermansfeld station,Germany
Wasserturm,Reinhardshain,Germany
Watertower,Holyhead,United Kingdom
Wasserturm,Freimann,Germany
Wasserturm,Torgau,Germany
Hiekkaharju water tower,Simonkylä,Finland
Hiekkaharju water tower,Hiekkaharju,Finland
Watertoren,Hoogeveen,Netherlands
Watertoren,Vught,Netherlands
