col0,col1
Kells Canyon Dam,
Santa Rs Dam,
Spencer Dao,
Aswap Dam,Lake Nasser
L Pouget,
Eidsfossen power statio,
Eidsfossen powerstation,
Boundary Da.,
Kingsley Dm,Lake McConaughy
Wlson Dam,Wilson Lake
"Wolf""Dreek Dam",Lake Cumberland
Espeland power statjon,
Espeland power statin,Osavatnet
Storelv power staion,
Storelv power station.,
Monticelno Dam,Lake Berryessa
"Grand""Coulee Dam",Franklin D. Roosevelt Lake
LayDam,
Taluda Dam.,Lake Murray
Salda Dam,
Hastwell Dao,Lake Hartwell
Seven Milf Dam,
Thompson FallsDam,
