col0,col1,col2
Cumbria Community Foundation,12,3359601
Berkshire Community Foundation,7,1414152
Middlesbrough and Teesside Philanthropic Foundation,4,578254
Amy Winehouse Foundation,7,630572
Joseph Rowntree Foundation,713,29241000
Haniel Stiftung,4,2250000
Dominikus-Ringeisen-Werk,4511,183000000
Deutsche Stiftung Verbraucherschutz,3,526021
San Francisco AIDS Foundation,261,31786296
WWF Deutschland,493,92415000
Wilhelm Sander Stiftung,30,19805000
Dachstiftung Diakonie,3509,183600000
Open Knowledge Foundation Germany,28,2532000
Albert Schweitzer Foundation for Our Contemporaries,41,2553634
NABU-Stiftung Nationales Naturerbe,32,5760000
AIDS-Fondet,75,3812045
Deutsches Zentralinstitut für Soziale Fragen,21,1638591
Deutsche Wildtier Stiftung,58,10422070
Deutsche Telekom Stiftung,21,9373962
