col0,col1
Pamukkale Üniversitesi Hastaneleri,
Uniklinik Köln,
Caritas-Hospital St. Josef Regensburg,311
Copenhagen University Hospital,
The University of Tokyo Hospital,1210
Inje University Haeundae Paik Hospital,
Children's Hospital of Suzhou University,
An-Najah National University Hospital,127
Hospital Universitario de La Princesa,524
Ankara University Cebeci Hospital,
Hospital de Son Llàtzer,419
Inje University Ilsan Paik Hospital,
Juntendo University Nerima Hospital,
Muğla State Hospital,
Prince of Wales Hospital,1770
Panyananthapikhu Chonprathan Medical Centre,
HRH Maha Chakri Sirindhorn Medical Centre,500
Sungkyunkwan University Samsung Changwon Hospital,
Hôpital Ibn Sina-Rabat,
Balıkesir University Faculty of Medicine,
Wonkwang University Sabon Hospital,
Hospital Rafael Méndez de Lorca,287
Hospital Clínico Universitario de Valladolid,777
university hospital center of Liège,1038
Dışkapı Yıldırım Beyazıt Eğitim ve Araştırma Hastanesi,
