col0,col1,col2,col3
2015 Rostelecom Cup - pair skating free skating,8,2015-11-21,Ksenia Stolbova
2015–16 Grand Prix of Figure Skating Final - pair skating free skating,7,2015-12-11,Ksenia Stolbova
figure skating at the 2013 Winter Universiade - pair skating free skating,5,2013-12-13,Ksenia Stolbova
2012 Four Continents Figure Skating Championships - ladies' singles free skating,24,2012-02-11,Ashley Wagner
2017 Skate America - men's singles free skating,12,2017-11-25,Adam Rippon
2010 Four Continents Figure Skating Championships - men's singles free skating,20,2010-01-30,Adam Rippon
2011 Four Continents Figure Skating Championships - men's singles free skating,20,2011-02-19,Daisuke Takahashi
figure skating at the 2012 Winter Youth Olympics - ladies' singles free skating,16,2012-01-17,Elizaveta Tuktamysheva
2011 Four Continents Figure Skating Championships - pair skating free skating,10,2011-02-18,Pang Qing
2010 Four Continents Figure Skating Championships - ladies' singles free skating,20,2010-01-29,Mao Asada
2011 Four Continents Figure Skating Championships - ladies' singles free skating,24,2011-02-20,Miki Ando
2017 Rostelecom Cup - pair skating free skating,8,2017-10-21,Evgenia Tarasova
2016–17 Grand Prix of Figure Skating Final - pair skating free skating,6,2016-12-09,Evgenia Tarasova
2016 Cup of China - pair skating free skating,8,2016-11-19,Zhang Hao
