col0,col1,col2,col3
Quatuor,,Befimmo,Jaspers-Eyers Architects
Turkish House,,Ministry of Foreign Affairs of the Republic of Turkey,Perkins Eastman
Cedar,,ING Group,Benthem Crouwel Architekten
Day 1,Amazon Headquarters Complex,Amazon,NBBJ
Eurotower,,"Fubon Financial Holding Co., Ltd.",Johannes Krahn
Albion Hotel,Miami Beach Architectural District,,Igor B. Polevitzky
Konrad-Adenauer-Haus,Weg der Demokratie,Christian Democratic Union,Max Meid
Salesforce Tower,,Boston Properties,César Pelli
The Tides,WTW complex at Wioślarska Street in Warsaw,,Kuryłowicz & Associates
Meiji Seimei Kan,Marunouchi My Plaza,,Shin'ichirō Okada
Transportation Building,Rideau Centre,,John Albert Ewart
