col0,col1,col2
Seufzersteg,,Germany–Poland border
Simón Bolívar International Bridge,315,Colombia-Venezuela border
Sault Ste. Marie International Bridge,,Canada–United States border
International Bridge,,Camino del Interior
Aavasaksa Bridge,471,
Stânca-Costești Dam,,Moldova–Romania border
Spiersbach bridge,,Austria–Liechtenstein border
Second Bridge over the Sai River (Thailand-Myanmar),,Myanmar–Thailand border
Hardegg Thayabrücke,,Austria–Czech Republic border
Pierre Pflimlin Bridge,917.7,list of state roads in Baden-Württemberg from the L67
Atanasio Girardot International Bridge,280.1,Colombia-Venezuela border
Tajik–Afghan Friendship Bridge,135,Afghanistan–Tajikistan border
Austria Germany border crossing #2518,,Austria–Germany border
Franco-Brazilian Binational Bridge,378,Brazil–France border
Rhine bridge Bangs-Lienz,,Austria–Switzerland border
Bridge of Dillingen,,Germany–Luxembourg border
Katima Mulilo Bridge,877.4,Namibia–Zambia border
