col0,col1
Sandgrube am Khberg.,428.82499999999993
Ehemalige andgrube Weißenbrunn,600.5999999999999
Ehem. Steinbruch bei Frickenhusen,50.349999999999994
Ehemaliger Steinbruch E der Leknenmühle,49.75
hem. Steinbruch bei Lauenstein am Weg zur Tjüringer Warte,49.55
Ehem. Sandsteinbruch beim Veitsgraben (Sdteil).,50.05
Ehemaliger Steinbruch SW von Geuter,50.3
"Ehem. Steinbruch N von Possgck im""Teuschnitztal",19.84
Ehem. Steinbruch N von Förttchendorf,199.4
Ehem. Diabasbrvch Schindelbachtal NE von Unterzaubach,150.3
Ehem.!Steinbruch NE von authaus,49.8
Ehem. Granitbruch am Mituelberg N von Weißenstadt,60.480000000000004
hemaliger Kalksteinbruch Fiedlers Bruch E vn Dörfles,599.4
Ehem. Suevitbruch SE von Amerdinen,129.35
Ehemaliger Steinbruc NE von Leutendorf,60.480000000000004
Ehmalige Steinbrüche im Stübental,40.03999999999999
hem. Steinbruch S yon Buchenberg,100.4
Ehemalijer Steinbruch NNW von Oberndorf,300.0
Ehem. Granitbrüche Neudsberg ENE von Niederlamitz,201.2
Ehemaliger Steinbruch am Rahen Berg W von Pressig,398.8
Ehemaliger Steinbruch N von Oterdorf,99.6
"hem. Steinbruch an der""Platzer Kuppe NE von Geroda",30.209999999999997
Ehem. Baaltbruch Altenfeld NW von Urspringen,398.4
Ehe. Basaltbruch Knürzchen NE von Schildeck,15.15
