col0,col1
India,Government of India
Georgia,Government of Georgia
Romania,Government of Romania
Latvia,Government of Latvia
Estonia,Government of Estonia
Bulgaria,Council of Ministers of Bulgaria
Finland,Finnish Government
Liechtenstein,Cabinet of Liechtenstein
East Timor,Cabinet of East Timor
Norway,Government of Norway
Nauru,Cabinet of Nauru
France,Government of France
Poland,Council of Ministers
Serbia,Government of Serbia
Croatia,Government of Croatia
Slovenia,Government of Slovenia
Spain,Government of Spain
