col0,col1,col2,col3
Ibara sumiyoshi,24.5,Museum of Fine Arts Boston,Ibara Sumiyoshi Shrine
The Making of Silk Floss 10,38.1,Asian Art,
"Fine Wind, Clear Morning",25.72,British Museum,"South Wind, Clear Sky"
The Small Passion:  The Ascension,,Metropolitan Museum of Art,The Small Passion:  The Ascension
The combat on foot with daggers,22.4,British Museum,The combat on foot with daggers
Tennō-ji masui,24.5,Museum of Fine Arts Boston,Masui Well at Tennô-ji Temple
Saint Simon,,Prints in the National Gallery of Art,Saint Simon
The Fall of Man,,Prints in the National Gallery of Art,The Fall of Man
The Fall of Man,12.9,Prints in the National Gallery of Art,The Fall of Man
Old Letterpapers from the Wisteria Studio,,Rhode Island School of Design,Old Letterpapers from the Wisteria Studio
Kyōbashi,24.5,Museum of Fine Arts Boston,Kyô-bashi Bridge
Sankatsu and Hanshichi,62.2,Asian Art,
Juhō-ji,24.5,Museum of Fine Arts Boston,Juhô-ji Temple
The Kiss,19.1,Museumslandschaft Hessen Kassel,
Imamiya ebisu no miya,24.8,Museum of Fine Arts Boston,Imamiya Ebisu Shrine
Christ being crowned with thorns,,Prints in the National Gallery of Art,Christ Crowned with Thorns
Drunken Silenus,442,Musea Brugge,
