col0,col1,col2
Wernfeld,,Gemünden (Main)
Sandweid,UTC+01:00,
Gare de Baud,Central European Time,
Nagoya Minato Station,Japan Standard Time,
Nuremberg-Langwasser,Central European Summer Time,
Gare de Pithiviers,Central European Time,
Jakarta Gudang railway station,,Kampung Bandan railway station
Iidamachi Station,Japan Standard Time,Suidōbashi Station
Akasaki Station,Japan Standard Time,Sakari Station
Fukaushi Station,Japan Standard Time,
Fujiwara Station,Japan Standard Time,
railway station Selommes,Central European Time,
Niiza Freight Terminal,Japan Standard Time,
Fujiyose Station,Japan Standard Time,Kuroyama Station
Kudara Shijō Station,Japan Standard Time,Kudara Freight Terminal
Nürnberg Hafen,,Nürnberg-Eibach
Zhijiang Railway Station,China Standard Time,Anfusi Railway Station
Kudara Freight Terminal,Japan Standard Time,Hirano Station
Leipzig-Engelsdorf,Central European Summer Time,Leipzig Hauptbahnhof
