col0,col1,col2
Fritillaria meleagris; Fritullaria lutea eller Fritullaria latifolia var lutea; Fritillaria pyrenaic...,505,385
Abbeville,11.4,20.3
Viola and Olivia,16.7,11.1
Courtyard of Innsbruck Castle (Without Clouds),36.8,26.9
Wing of a European Roller,19.6,20
Governor's Residence St. Ann's,19.4,26
Virgilia and Volumnia Plead with Coriolanus,29.8,30.8
The Marirage of Napoléon III and Eugénie,13.5,9.5
The Harbor at Southampton,8.4,14.6
Mrs. Justinian Casamajor and Eight of her Children,80,96.5
"`Hold Back, Sir!'",25.1,35.4
"Ruined Mine, Wales",398,537
Castello Malespina Appennines,29.2,44.9
"The Bocas from the Old Fort, Maquerite",17.9,25.6
"Fulham Palace, Porter's Lodge",12.7,15.1
"Racehorse at Exercise, Ridden by a Training-Groom",12.9,17.6
