col0,col1
OGLE J051841.98-69051.9,-68.904303888
HD 58553,2.37004669253
HD 16434,-40.36851129914811
HD 10446.,-63.49979227795491
HD 88864,-61.546211147037376
NG 4755 20,-60.29821263209271
HD 152090,-40.99351212754994
D 98260,-60.89590215449977
* V401!Car,-58.726092640065566
GG Canis Majris,-30.80387984709828
H 155407,-45.18035185832
WR 88,-34.23646602576695
Nu Erigani,-3.3256405068233597
V* V231 Oph,-27.140121816706078
HD 10035,-63.110655761977995
HD 159:92,-45.899044797446784
HD 366304,-16.546381548491418
