col0,col1,col2,col3
FCM Legends award,,Federació Catalana de Motociclisme,motorcycle sport
Finnish FA's Women's Footballer of the Year,,Football Association of Finland,association football
Ballon d'Or,Ronaldo,France Football,association football
FIFA Player of the Century,,FIFA,association football
Serie A Footballer of the Year,,Italian Footballers' Association,association football
Kaijan Kannu,,Football Association of Finland,association football
Ard Schenk Award,,Aegon N.V.,long track speed skating
Jim Phelan Award,,Collegeinsider.com,basketball
Penang Badminton Association Silver Plate,,Penang Badminton Association,badminton
Sammon malja,,Finnish Ice Hockey Association,ice hockey
Janne Rautavuori Award,,Finnish Ice Hockey Association,ice hockey
Chelsea F.C. Player of the Year,,Chelsea F.C.,association football
Finnish Sports Journalists' Footballer of the Year,,Finnish Sports Journalists' Association,association football
Ricardo Zamora Trophy,,Marca,association football
Kladno Hockey Hall of Fame,,HC Kladno,ice hockey
FIM Legend,,International Motorcycling Federation,motorcycle sport
Captain’s Ball,,Football Association of Finland,association football
Chess Oscar,,International Association of Chess Press,chess
Isobel Cup,,Premier Hockey Federation,ice hockey
Softball America Freshman of the Year,,Wilson Sporting Goods,college softball
