col0,col1
Yugoslav Sign Language,5 Developing
Surinamese Sign Language,
Seychelles Sign Language,
Finnish Sign Language,5 Developing
American Sign Language,5 Developing
Danish Sign Language,5 Developing
Jumla Sign Language,6b Threatened
Bangladesh Sign Language,
Qahveh Khaneh Sign Language,
Penang Sign Language,8a Moribund
Maltese Sign Language,5 Developing
Jamaican Country Sign Language,8a Moribund
Old French Sign Language,
Indonesian Sign Language,6a Vigorous
Ugandan Sign Language,5 Developing
Argentine Sign Language,5 Developing
Swiss-German Sign Language,5 Developing
Mozambican Sign Language,5 Developing
Flemish Sign Language,5 Developing
Kuwaiti Sign Language,
Jhankot Sign Language,6a Vigorous
Plains Indian Sign Language,8b Nearly Extinct
New Zealand Sign Language,6b Threatened
