col0,col1,col2
Frýdek-Místek,Frýdek-Místek District,
Kolín,Kolín District,
Zlín,Zlín District,
Kroměříž,Kroměříž District,
Břeclav,Břeclav District,
Ústí nad Labem,Northern Bohemia,
Vyškov,Vyškov District,
Česká Lípa,,Lipý Castle
Rokycany,Rokycany District,
Strakonice,Strakonice District,
Ostrava,Moravian-Silesian Region,
Louny,Louny District,
Rychnov nad Kněžnou,Rychnov nad Kněžnou District,
Jihlava,Jihlava District,
Křemže,,Castle ruin of Kynžvart
Hodonín,Hodonín District,
Děčín,Děčín District,
Teplice,Teplice District,
Nový Jičín,Nový Jičín District,
Přibyslav,,Žižkova mohyla
Mořkov,,protestant cemetery in Mořkov
